2016-10-23 00:02:16.3130 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:17.4531 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:18.7022 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:20.0982 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:21.4053 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:22.6874 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:24.1385 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:25.4496 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:26.5846 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:27.7277 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:28.9608 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:29.2088 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXGeneral/AnIn4GGIO5.Beh.ST.stVal Value: 1 , Backend Type : HReg Addr : 93 Value : 0 

2016-10-23 00:02:30.2868 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:31.5609 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:32.8570 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:34.3201 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:35.7751 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:36.8882 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:38.1423 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:39.3223 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:40.4664 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:41.6815 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:43.0696 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

